Author,Title,Year publication,Year read
"Asimov, Isaac",Prelude to Foundation,1988,2015
"Asimov, Isaac",Forward the Foundation,1993,2015
"Asimov, Isaac",Foundation,1951,2015
"Asimov, Isaac",Foundation and Empire,1952,2015
"Asimov, Isaac",Second Foundation,1953,2015
"Asimov, Isaac",Foundation's Edge,1982,2015
"Asimov, Isaac",Foundation and Earth,1986,2015
"Asimov, Isaac","I, Robot",1950,2015
"Asimov, Isaac","The Rest of the Robots",1964,2015
"Chernow, Ron","Titan: The Life of John D. Rockefeller, Sr.",1997,2014
"Herman, Arthur",How the Scots Invented the Modern World,2002,2014
"Jansson, Tove",Memorias de Papá Mumin,,2015
"Jansson, Tove",La gran inundación,,2015
"Jansson, Tove",La llegada del cometa,,2015
"Martin, Robert C.",The Clean Coder,2011,2014
"Simon, Herbert",Models of my life,1996,2014

